1e10  1e10  1e10   1e10 1e10  1e10  1e10   1e10 1e10  1e10  1e10   1e10  1e10  1e10  1e10 -0.9
1e10  1e10  1e10   1e10 1e10  1e10  1e10  1e10  1e10  1e10  1e10  1e10   1e10  1e10 -2.2  1e10 
1e10  1e10  1e10   1e10 1e10  1e10  1e10   1e10 1e10   1e10 1e10   1e10  1e10 -2.1  1e10 -0.6
 1e10 1e10   1e10 1e10   1e10 1e10   1e10 1e10   1e10 1e10   1e10 1e10  -1.1  1e10 -1.4  1e10  
1e10  1e10  1e10   1e10 1e10  1e10  1e10   1e10  1e10  1e10  1e10 -2.1 1e10  1e10  1e10   1e10 
1e10  1e10   1e10 1e10  1e10  1e10   1e10 1e10   1e10  1e10 -3.3  1e10 1e10  1e10   1e10 1e10  
1e10   1e10 1e10   1e10 1e10   1e10 1e10   1e10  1e10 -2.4  1e10 -1.4 1e10   1e10 1e10   1e10 
 1e10 1e10   1e10 1e10   1e10 1e10   1e10 1e10  -2.1  1e10 -2.1  1e10  1e10 1e10   1e10 1e10  
1e10  1e10  1e10   1e10  1e10  1e10  1e10 -2.4 1e10  1e10  1e10   1e10  1e10  1e10  1e10 -1.3
1e10  1e10   1e10 1e10   1e10  1e10 -3.4  1e10 1e10  1e10   1e10 1e10   1e10  1e10 -2.5  1e10 
1e10   1e10 1e10   1e10  1e10 -3.3  1e10 -1.5 1e10   1e10 1e10   1e10  1e10 -2.1  1e10 -0.5 
 1e10 1e10   1e10 1e10  -2.2  1e10 -2.5  1e10  1e10 1e10   1e10 1e10  -1.4  1e10 +1.3  1e10   
 1e10  1e10  1e10 -1.3 1e10  1e10  1e10   1e10  1e10  1e10  1e10 -1.0 1e10  1e10  1e10   1e10 
 1e10  1e10 -2.4  1e10 1e10  1e10   1e10 1e10   1e10  1e10 -1.5  1e10 1e10  1e10   1e10 1e10  
 1e10 -2.1  1e10 -1.0 1e10   1e10 1e10   1e10  1e10 -1.4  1e10 +0.3 1e10   1e10 1e10   1e10 
-0.9  1e10 -1.3  1e10  1e10 1e10   1e10 1e10  -0.6  1e10 -0.5  1e10  1e10 1e10   1e10 1e10  

